Text,Year,Journal Name,DOI,Label
"This paper, therefore, carefully proposes the design procedures and selection method of current wind power technologies for the Thailand power system based on the current available power system data and recently available wind resource assessment data. The penetration level of wind power generation to be integrated into the system, together with wind turbine sizing processes, are comprehensively examined for Thailand which is considered as a low–medium-wind-speed country.",2008.0,Design Optimization of Wind Power Planning for a Country With Low–Medium-Wind-Speed Profile,19-Sep-08,1
"Three cases are implemented for demonstrating the effective ness of the proposed approaches. First, the scheduling problem of 5-ILG is implemented by the IDP. The simple case is also performed through the conventional DP for validating the use fulness of the IDP. Besides, a daily load pattern of the substa tion, which is suffering from the capacity shortage, is modified by the DSS in the case 2. In the case, the scheduling problem of 25-ILG is solved by the IDP, and then the results of the IDP are adjusted by the HIR for applying them to the practical system load. In the above cases, the theme of the study focuses on the schedule of the interruption load without considering the incen tive rate. The influence of the incentive rate is discussed in the case 3.",2003.0,Demand Subscription Services—An Iterative Dynamic Programming for the Substation Suffering From Capacity Shortage,02-May-03,1
"The establishment of robust cybersecurity education and training programs constitutes a critical foundation for developing secure digital ecosystems, yet despite widespread recognition among professionals and the general public regarding the necessity for comprehensive university curricula and specialized training initiatives, there remains a significant absence of standardized guidelines, practical resources, and exemplary models to assist academic institutions in designing effective cybersecurity education frameworks?articularly concerning the systematic identification of skill sets demanded by evolving workforce roles, prompting this study to address these gaps through multifaceted analysis of 89 international academic programs combined with institutional recommendations from EU and global entities, culminating in both an interactive Education Map web application for visualizing current educational offerings and the novel SPARTA Cybersecurity Skills Framework that explicitly bridges occupational competencies with pedagogical requirements, ultimately delivering actionable tools for curriculum developers to align program designs with dynamic industry needs through systematic mapping of workplace roles to educational objectives and competencies.
",,,,0
"The aforementioned Delphi processes establish a foundational framework crucial for the development of educational cybersecurity assessment tools, which are designed to furnish a robust, evidence-based infrastructure, thereby guiding educators in the implementation of effective strategies for engaging, informing, educating, nurturing, and retaining cybersecurity students, as well as optimizing cybersecurity curricula to adequately prepare professionals for careers within this domain, the quantitative ratings generated by these Delphi processes serve as a valuable resource for prioritizing concepts and content during the creation of curricula, learning exercises, and associated educational materials and policy frameworks.
",,,,0
"The proposed Universal Remote Control (URC) system can enhance the automation and security of intelligent buildings, including homes, schools, and public institutions. This smart URC allows for the control of various devices such as TVs, DVDs, projectors, lighting systems, motorized screens, and curtains. Furthermore, by leveraging Wi-Fi and camera systems, it enables control over heating systems, security and disaster management, spatial resolution, and provides simultaneous real-time control information.",2010.0,Advanced Universal Remote Controller for Home Automation and Security,04-Nov-10,0
"The year 2022 was marked by the unequivocal prominence of Generative AI (GenAI) model evolution as a pivotal driver of digital transformation. Given the ongoing augmentation of complexity and capability within various GenAI models, such as ChatGPT and Google Bard, a critical imperative exists to comprehend their ramifications from a cybersecurity standpoint. Recent instances have illustrated the utilization of GenAI tools in both defensive and offensive cybersecurity capacities, thereby underscoring the social, ethical, and privacy implications inherent in this technological domain.

 1  This research paper endeavors to elucidate the limitations, challenges, potential risks, and opportunities associated with GenAI within the cybersecurity and privacy context. Specifically, the paper delineates the vulnerabilities of ChatGPT, which may be exploited by malicious actors to exfiltrate illicit information, thereby circumventing the model's ethical constraints. 2  Demonstrative examples of successful attack vectors, including jailbreaks, reverse psychology, and prompt injection attacks, are presented. 3  Furthermore, this investigation explores the potential utilization of GenAI tools by cyber offenders in the development of cyberattacks, and examines scenarios wherein ChatGPT can be leveraged to facilitate social engineering attacks, phishing campaigns, automated hacking procedures, attack payload generation, malware creation, and polymorphic malware development. 4  Subsequently, defensive methodologies are examined, and the application of GenAI tools for the enhancement of security measures, encompassing cyber defense automation, reporting, threat intelligence, secure code generation and detection, attack identification, ethical guideline development, incident response planning, and malware detection, is explored. 3  Additionally, the social, legal, and ethical ramifications of ChatGPT are discussed. In conclusion, this paper delineates open challenges and proposes future directions aimed at ensuring the secure, safe, trustworthy, and ethical deployment of GenAI, as the cybersecurity impacts become more widely understood within the community.
",,,,0
"Thus, the comparative test data from this experiment are presented in Fig. 4. According to the test data shown in the figure, the background vibration detected by the new position sensor in our research laboratory (the 'hybrid SM-3' was securely attached to the tile floor of our experimental room on the second floor) is approximately 400 Hz, corresponding to a mechanical vibration amplitude of the floor of 40 nm [3]. Additionally, Fig. 4(a) shows that the background vibration of the research building is nearly four times higher on weekdays compared to weekends and nights. However, even the vibrations at night are 50–100 times greater than the noise level of the test oscillator, which is about 1–2 Hz, as indicated by the data in Fig. 4(b).",2007.0,NEW PRINCIPLE OF OPERATION SEISMIC DETECTOR OF NANO-SCALE VIBRATIONS,02-Jun-07,0
"Due to constraints in power consumption, memory usage, connectivity, and battery availability, IoT devices cannot achieve the same level of security as traditional computers. To address this, machine learning (ML) models have been developed to monitor networked devices, distinguishing between legitimate and compromised ones. These models enhance security by detecting anomalies and potential threats, improving the overall resilience of IoT ecosystems.",,,,0
"We are introducing a new password authentication method based on Hopfield Neural Networks (HNN). We can demonstrate this authentication scheme for verifying user IDs and passwords without losing its general applicability. This authentication approach can be applied to various computing resource access controls, including multiple server access permission [9] or role-based security control [12]. The authentication system consists of three main procedures: registration, log-in authorization, and password change.",,Password Authentication Using Hopfield Neural Networks,,0
"This paper has proposed a methodology of security assess ment of EIS and power systems based on PNs Theory. The methodologynotonlyproposestomodeltheoperatingsequence of protection devices, but also proposes the modeling of uncer tainty in the operation of protection devices using GSPN, and it proposestomeasureitsimpactonthesecurityassessment.Thus, it is proposed the establishment of a relationship between the operating states of power systems and the PN models’ places, in order to determine the PN Places that model the nonsecure operating states.",2010.0,Power Systems Security Evaluation Using Petri Nets,01-Jan-10,1
"This paper introduces a key binding biometric cryptosystem based on Juels' fuzzy commitment approach, which safeguards function-based online signature templates. Our system achieves significantly better recognition performance compared to approaches using parametric feature-based representations, which have been employed in most previously proposed signature template protection methods, such as those in references [5] and [7].",,Fuzzy Commitment for Function Based Signature Template Protection,,0
"To control for instructional variations, identical textbooks and core teaching materials were utilized across all four course sections. Students completed the same assignments and examinations, while presentation materials remained consistent except where specifically noted. The curriculum addressed threats and corresponding countermeasures applicable to various cybersecurity vulnerabilities affecting systems and applications, following the CSEC framework structure. During key learning moments throughout material presentations, instructors engaged students by prompting responses to questions or soliciting suggestions for remediation strategies regarding programming code, firewall configurations, open ports, and similar security concerns. The course incorporated several collaborative projects and required one group presentation. Practical laboratory components involved hands-on experience with diverse security tools including intrusion detection systems, threat modeling applications, network analyzers, infrastructure monitoring solutions, log analysis tools, port scanners, penetration testing platforms, and vulnerability assessment scanners. Students also developed cryptographic programs and employed both static and dynamic code analysis techniques to evaluate their own programming work.
",,,,0
"Cyber attacks targeting smart grid infrastructure can be classified into two primary categories: passive and active. Passive attacks focus on information gathering through techniques like spying, eavesdropping, and traffic analysis, without directly interfering with system resources or operations. In contrast, active attacks deliberately modify data and information using methods such as malware deployment and Denial of Service (DoS) campaigns, frequently resulting in substantial operational disruptions. The existing literature identifies various vulnerability points where these attacks commonly originate, including monitoring devices, substation infrastructure, and remote access pathways. Among these threats, False Data Injection Attacks (FDIA) emerge as particularly prevalent and challenging to mitigate due to their extensive and varied impacts across smart grid ecosystems.
",,,,0
"The following section outlines foundational concepts regarding AI applications in cybersecurity, establishing context for our investigation. Subsequent segments analyze prior research in the field and clearly delineate the existing knowledge gap. Our methodology section details the systematic approach employed for this comprehensive review, followed by presentation and analysis of key findings. The discussion synthesizes these results while the conclusion provides actionable insights, enabling researchers to evaluate the comparative efficacy of various AI techniques and their tangible impact on cybersecurity effectiveness.

While information security professionals widely acknowledge AI's transformative potential for organizational cyberdefense, our analysis reveals these assertions remain largely theoretical rather than evidence-based. Current literature predominantly features either: (a) comparative studies pitting novel AI solutions against limited existing methods, or (b) performance assessments constrained by narrow system samples. Both approaches suffer from significant selection bias, underscoring the critical need for aggregated, unbiased research that systematically consolidates current challenges, solutions, and future research trajectories in AI-driven cybersecurity. This study directly addresses that need through its rigorous, comprehensive methodology.",,,,0
"Security is defined as the ability of the power system to respond to sudden disturbances without supply interruption. Therefore, security analysis must evaluate nonappropriate response of the system, unnecessary operation of any device (such as protection devices) and/or bad operation of some subsystems when a sudden disturbance occurs. Any of these events affect the power quality and/or the reliability of the electrical system and, consequently, the electrical infrastructure and the associated productive industrial processes lead to a risky scenario.",2010.0,Power Systems Security Evaluation Using Petri Nets,01-Jan-10,1
"Impulsive systems and their control have been a subject of extensive research lately. Numerous studies have explored the stability of these systems, often employing Lyapunov functions, which traditionally require these functions to remain constant or decrease across switching points. Yang, in a separate study, formulated criteria for impulsive control of specific nonlinear systems, drawing upon earlier stability research. Other researchers have also refined stability criteria for impulsive systems with fixed-time impulses, subsequently applying these findings to design control strategies for nonlinear systems. Furthermore, practical applications of impulsive control have been investigated, particularly in secure and spread spectrum communication systems that utilize chaotic dynamics. Additionally, methods for experimentally implementing impulsive controls have been developed.",,Less Conservative Conditions for Asymptotic Stability of Impulsive Control Systems,,0
"The methodology begins with comprehensive data preprocessing to enhance dataset quality. For effective classification, strategic feature selection is crucial to accurately categorize new records [24]. In Android application analysis, this process involves extracting permissions and API calls as primary features from the database. The framework employs Androguard - a specialized Python-based toolkit designed for Android file interaction and reverse engineering. This powerful tool enables granular analysis of APK files through systematic extraction of DEX file permissions.",,,,0
"The provided sources outline several cybersecurity frameworks, standards, and best practices specific to the nuclear domain, aligning with the focus of. Key standards include the IEC 62443 series and ISO 27K series, which provide foundational guidelines for securing industrial control systems (I&C) and ensuring cybersecurity measures do not conflict with safety objectives. The NRC Cybersecurity Program (updated in 2023) mandates rigorous protection of digital systems critical to safety, emphasizing air-gapped control systems, strict portable media protocols, and staff training to mitigate risks like Stuxnet-style attacks. Cyber-Informed Engineering (CIE) advocates for integrating cybersecurity into the entire lifecycle of digital I&C systems, prioritizing consequence-driven risk assessments and deterministic protections to reduce vulnerabilities in advanced reactor designs. Sandia National Laboratories?Cybersecurity by Design approach employs a Tiered Cybersecurity Analysis (TCA) framework, combining facility-, function-, and system-level assessments to embed defense-in-depth strategies during reactor design. Additionally, the CISA Nuclear Sector Cybersecurity Framework offers implementation guidance for risk management, emphasizing threat detection, incident response, and resilience against supply chain risks. Best practices highlighted include network segmentation, redundancy in digital systems, vulnerability disclosure programs, and international collaboration to address evolving threats, particularly with the rise of small modular reactors (SMRs) and their expanded attack surfaces. These frameworks collectively address gaps in outdated infrastructure and promote proactive measures, though challenges persist in securing legacy systems and harmonizing global standards.",,,,0
"Wehave successfully demonstrated a new RNG that uses the large fluctuating current of the MOS structure after soft break down. This RNG is a small circuit composed of about 20 logic gates and several passive devices. The random numbers gener ated by this RNG havepassed some high-level tests, confirming that they are high-quality random numbers that are close to true random numbers. Thus, this RNG is a promising circuit for cryptographic security applications in mobile network services.",2004.0,Physical Random Number Generator Based on MOS Structure After Soft Breakdown,08-Aug-04,1
"The rapid advancement of Generative AI (GenAI) models, such as ChatGPT and Google Bard, has been a defining aspect of digital transformation in 2022, raising significant cybersecurity concerns. These AI tools have been utilized for both defensive and offensive cybersecurity applications, with growing attention to their social, ethical, and privacy implications. This research explores the limitations, challenges, risks, and opportunities associated with GenAI in cybersecurity, highlighting vulnerabilities in ChatGPT that can be exploited through techniques like jailbreaks, reverse psychology, and prompt injection attacks. It also examines how cybercriminals can leverage GenAI for social engineering, phishing, automated hacking, malware generation, and polymorphic malware. On the defensive side, the study investigates the role of GenAI in enhancing cybersecurity through automated threat detection, secure code generation, incident response, and malware detection. Additionally, it discusses the broader social, legal, and ethical considerations of AI in cybersecurity. The paper concludes by identifying open challenges and future directions to ensure that GenAI evolves in a secure, trustworthy, and ethical manner.
",,,,0
"Two perspectives can be used to examine automobiles within their operational context. One is a comprehensive ""system-of-systems"" view where automobiles function as components within a multimodal transportation system, a multimedia information system, a larger planetary energy system (using fossil-fuel, bio-fuel, or hydrogen), and an atmospheric chemistry system. At this scale, approximately 900 million automobiles traverse our planet (Fig. 1). Beyond being elements in large-scale physical and chemical systems, automobiles are increasingly becoming components within a sophisticated information infrastructure system (Fig. 3), creating new opportunities for services enabled by electrical, electronic, and software technologies.",,Scanning Advanced Automobile Technology,,0
"Cybersecurity training laboratories are implemented in diverse configurations, including traditional setups that feature interconnected physical machines, network devices, and security appliances, as documented in prior research [1, 5, 32]; these traditional laboratories offer the advantage of providing realistic hands-on experience with actual hardware; some implementations extend this approach by enabling remote access to traditional security labs, allowing students to remotely allocate, configure, and manage physical resources [62]; however, as previously discussed, the classical approach incurs substantial overhead costs and presents significant disadvantages related to setup, configuration, installation, scheduling, and equipment management, thus necessitating consideration of alternative laboratory paradigms.",,,,0
"Designing effective cybersecurity laboratories requires adherence to specific features and guidelines to ensure practicality, security, and scalability. These include: (1) providing lab machines with Internet connectivity for downloading necessary tools and accessing online resources, (2) isolating lab machines from campus networks to prevent unintended security risks, (3) creating a realistic lab networking environment capable of supporting well-known cybersecurity exercises, (4) ensuring easy management, allocation, and scalability of resources to accommodate assignments with varying complexity, (5) staffing the lab with sufficient IT personnel and technicians for maintenance and prompt troubleshooting, and (6) making the lab distributed and accessible to both on-campus and remote students.",,,,0
"In asymmetric watermarking, successful detection via correlation tests hinges on a degree of correlation between the detector's reference watermark and the embedded watermarks. Various methods exist to generate correlated, yet distinct, signals from a reference watermark. Simple approaches include adding weighted random noise or replacing portions of the watermark with noise, as previously proposed. This paper introduces a novel technique utilizing a phase-shift-transform (PST) to achieve this correlation.",2004.0,ASYMMETRIC WATERMARKING SYSTEM,03-Mar-04,0
"The system employs an 8-bit PSoC (Programmable System on Chip) microprocessor for three main reasons. First, it simplifies design and lowers system costs by integrating configurable analog and digital blocks along with programmable interconnect logic. This architecture enables the development of customized peripherals such as filters, amplifiers, analog-to-digital converters, and communication interfaces. Second, the device includes a sleep timer and an SMP (Switch Mode Pump) circuit, which help minimize power consumption. Third, a specialized PSoC device is incorporated to reduce the design complexity of the capacitive sensor keyboard in the system.",2007.0,A Low Cost GSM/GPRS Based Wireless Home Security System,06-Dec-07,0
"To conduct the attack, a test bed was created to simulate real-world conditions. As shown in Figure 2, the Balise Transmission Module (BTM) system was placed on a wooden stand inside a semi-anechoic chamber, ensuring it maintained a correct distance of approximately 50 cm from a Balise positioned beneath it. A magnetic sniffer connected to a spectrum analyzer was used to verify that the BTM successfully exchanged telegrams with the Balise when activated. Figure 3 illustrates the BTM system operating normally while receiving telegrams from the Balise.",,,,0
"The growing complexity of software and communication interfaces has made IoT and cyber-physical systems increasingly susceptible to various attacks, leading to significant privacy and security risks. Cybersecurity breaches in these systems can result in severe consequences, making it essential to implement strong safety measures and robust security solutions to counter potential threats. Machine learning algorithms, which rely on data collected from these IoT and CPS environments, are also exposed to vulnerabilities. Below, we highlight some of the most common security risks associated with IoT and CPS, emphasizing the need for advanced cybersecurity strategies to protect these interconnected systems.








",,,,0
"Impulsive control systems are prevalent in various real-world scenarios. Examples include systems for managing insect populations, where the number of insects and their predators are the system's state variables; chemical reactors, where the quantities of different chemicals are monitored; and financial systems, where the market's money supply and the central bank's savings rates are the state variables. Additional practical applications have been documented in other research.",,Less Conservative Conditions for Asymptotic Stability of Impulsive Control Systems,,0
"The strategic behavior (discrete supply function) of the power suppliers in the market at time step k is a function of demand elasticity, system residual demand, transmission relia bility index, generation reliability index, fuel cost, and market clearing price, which by nature, are random variables. If energy market participants behave rationally, they will follow the energy market operator rules to hedge against price volatility and loss of profit risk. For example, they will try to bid/offer within ten percent tolerance of the last trading period’s clearing price in order to win in the market [11]. Mathematical modeling of the players’ strategic bidding practices is currently an active area of research [9], [10].",2003.0,Leader-Follower Framework for Control of Energy Services,02-May-03,1
"To study brute-force break-ins, a probabilistic model is needed to describe the relationship between the number of attacks and the probability of false acceptance. Therefore, it is essential to establish a probabilistic model for the angular distance. To simplify this model, we assume that all preprocessed palmprint images are clear and free from non-palmprint pixels, allowing us to disregard masks and normalization terms. For analytical convenience, we use the integer representation of the Competitive Code, although the same results could be obtained using its bitwise representation. We focus on the angular distance given in equation (2) for this analysis.",2006.0,Analysis of Brute-Force Break-Ins of a Palmprint Authentication System,05-Oct-06,0
"Cybercriminals frequently employ spear phishing tactics, which involve crafting emails that mimic legitimate communications to deceive unsuspecting users into clicking links or providing personal information. These attacks leverage principles of social engineering, where the emails are designed to appear credible, thereby gaining the trust of the recipients. Spear phishing is particularly insidious as it involves extensive background research on specific targets, allowing attackers to create highly personalized messages that often appear to come from trusted sources. The ""from"" field typically contains familiar email addresses, enhancing the likelihood that the target will engage with the content without suspicion. This method not only highlights the sophistication of modern cyber threats but also underscores the importance of vigilance and awareness among users to recognize and avoid such deceptive practices.
",,,,0
"The smart grid structure is susceptible to four major categories of attacks: physical-based (e.g., damage to physical components), cyber-based (e.g., software or firmware manipulation), communication-based (e.g., breakdown of physical links), and network-based (e.g., Denial of Service). False Data Injection Attacks (FDIA) emerge as a common and significant threat across all these layers. At the physical layer, FDIA can occur through device input manipulation, while at the cyber layer, it involves falsifications at the application level without altering code. GPS data injection exemplifies a communication layer attack, and network packet manipulation is another form of FDIA. These attacks compromise critical aspects of security, including integrity, confidentiality, and availability, highlighting the urgent need for robust detection mechanisms to safeguard smart grid systems against such pervasive threats.
",,,,0
"The imperative for securing Internet of Things (IoT) communications arises from the substantial data volumes exchanged between devices, as well as between devices and servers or consumers, wherein breaches of confidentiality, integrity, or availability (CIA) can precipitate severe repercussions; insufficiently protected data streams within these devices constitute potential entry points for malicious actors, thereby elevating the risk of data exfiltration and system compromise, underscoring the necessity for robust communication security protocols.

",,,,0
"The size and capabilities of systems provided by vendors in different sourcing strategies are
heterogeneous. Prior literature has identified that IS vendors
providing single-sourcing solutions tend to be larger firms with
more established businesses [17]. Larger and more established
IS vendors have more significant resources and capabilities
in ensuring the system?s cybersecurity performance. However,
vendors that primarily support a BoB strategy are often smaller
players in some niche markets [4]. These smaller vendors have
risks of going out of business and lack resources to identify
system vulnerabilities and make efforts on cybersecurity protection. In addition to the cybersecurity resources, larger and
more established IS vendors often have a stronger awareness
of cybersecurity issues and are more likely to better engage in
secure behaviors than smaller vendors.
",2021.0,"Information Systems Sourcing Strategies and
Organizational Cybersecurity Breaches
",03-Dec-21,1
"Cloud computing platforms offer transformative potential for cybersecurity education by providing scalable, on-demand virtual labs that overcome the limitations of physical infrastructure, enabling students (local or remote) to access isolated, configurable environments with near-unlimited resources. In our implementation using AWS, cloud-based exercises empowered learners to practice real-world cyber defense/attack scenarios while gaining hands-on cloud skills?ritical for modern CS/engineering careers?hrough a virtual classroom bridging two campuses. Though AWS was our platform, the methodology applies universally (e.g., Google Cloud, Rackspace), with guidelines provided for adapting these elastic, cost-effective labs to other courses, proving cloud environments superior to traditional labs in flexibility, accessibility, and alignment with industry demands.

",,,,0
"This paper introduces a new digital chaotic secure communication system that significantly enhances security. It achieves this by employing a ""magnifying glass"" technique to amplify the impact of parameter mismatches and utilizing an impulsive control strategy with piecewise-constant intervals for chaotic circuit synchronization. The system effectively merges traditional cryptographic methods with chaotic secure communication principles. Importantly, our proposed system demonstrates a high sensitivity to even minor parameter variations, greatly improving its resistance to unauthorized decryption.",2003.0,A NEW CHAOTIC SECURE COMMUNICATION SYSTEM,08-Aug-03,0
"In the proposed method, task input data from various sensors undergoes preprocessing to transform it into an appropriate structural format. This study introduces a lightweight preprocessing data mining technique, wherein data from all tasks is formatted and processed according to their specific requirements. Data preprocessing is a data analysis technique that involves converting raw data into a comprehensible format. All tasks are then ordered based on their deadlines, utilizing the earliest deadline first algorithm, as outlined in Algorithm 1.",,,,0
"In coming decades, electronic controllers, micro-electromechanical systems (MEMS), and nanoscale electrochemical sensors and actuators will significantly contribute to emissions treatment—enabling the electrochemical systems necessary to reduce the percentage of hydrocarbons, carbon oxides, and nitrogen oxides in tailpipe emissions. Currently, these electronic controllers, sensors, and actuators are utilized in multistage exhaust gas treatment as gases travel from the internal combustion engine to the tailpipe, ensuring hydrocarbons and nitrogen oxides are captured and converted to cleaner emissions.",,Scanning Advanced Automobile Technology,,0
"To effectively manage peak load reduction, interruptible load groups are categorized into two sections. The first group, called ILGS, is scheduled offline using IDP. The second group, known as ILGA, is used in real-time to adjust IDP results through HIR. The IDP ensures that the ILGS follows an optimal or near-optimal schedule. However, the practical system load’s uncertainties can affect the planned reductions. To address these uncertainties, HIR is applied in real-time to fine-tune the schedule, making it more resilient to unpredictable variations in system load.",,Demand Subscription Services—An Iterative Dynamic Programming for the Substation Suffering From Capacity Shortage,,0
"This research contributes to cybersecurity education by establishing a standardized methodology for curriculum development, showcasing exemplary program structures, and delivering an innovative software solution to facilitate evidence-based curricular design?ll aimed at accelerating the creation of high-quality, interdisciplinary cybersecurity programs across academic institutions while ensuring alignment with industry demands through systematic mapping of professional competencies to educational objectives, thereby enabling institutions to develop tailored curricula that meet specific workforce needs while maintaining consistent pedagogical standards through our proposed framework's rule-based approach to program design and evaluation.
",,,,0
"An effective approach integrated automated mapping with facilities management and geographic information systems to prevent distribution transformers from overloading damage. A pulse-width-modulation-based control scheme was proposed for Interruptible Load Management (ILM) to effectively reduce peak system loads. However, utilities must negotiate contracts with customers by offering price discounts or incentive rates to secure interruptible load groups (ILGs). Discussions on suitable incentive rates for customers are found in references3 and4. Additionally, a dynamic tariff was proposed for demand side management (DSM), introducing a real-time pricing strategy to maximize profits for industrial end-users.",2004.0,A MODEL REFERENCE ADAPTIVE CONTROL STRATEGY FOR INTERRUPTIBLE LOAD MANAGEMENT,01-Feb-04,0
"An effective approach [1] integrated the automated mapping
with facilities management and geographic information system
to keep the distribution transformers from being damaged due to
overloading. A pulse-width-modulation-based control scheme
[2] for the ILM was proposed to reduce the system peak load
effectively. However, the utility must make contracts with customers by providing a price discount or incentive rates to obtain
the interruptible load groups (ILGs). The appropriate incentive
rates for customers were discussed in [3] and [4]. A dynamic
tariff [5] was also proposed to the demand side management
(DSM); this approach presented a real-time pricing strategy for
the industrial end-user to obtain the maximal profits",2004.0,A MODEL REFERENCE ADAPTIVE CONTROL STRATEGY FOR INTERRUPTIBLE LOAD MANAGEMENT,01-Feb-04,1
"Current security systems that automatically identify individuals
commonly use either tokens of private knowledge such as a password
or a private possession such as a smart card. Such tokens are insecure
in that they can be lost, shared, stolen, or duplicated. In this respect,
biometric authentication approaches that use physiological and behavioral characteristics such as the iris, retina, fingerprint, palmprint,
signature, or gait [2] are much more secure. They are not, however,
invulnerable. For example, they are open to database, replay, and brute force attacks.",2006.0,Analysis of Brute-Force Break-Ins of a Palmprint Authentication System,05-Oct-06,1
"The benefits of a bilateral market are numerous. Allowing customers and suppliers to directly negotiate contract prices ensures fair and specific payment allocation for each customer. Additionally, it fosters greater competition in the ancillary services market, thereby mitigating the risk of load-following supply shortages. Generators with bilateral contracts are fairly compensated for their services, which could incentivize more generators to participate in the load-following market. Enhanced competition also stems from the possibility of generators entering into bilateral contracts outside their Control Area (CA), as discussed earlier. This, however, necessitates a communication network that spans multiple Control Areas.",,Feasibility of a Bilateral Market for Load Following,,0
"The second phase of the evaluation comprised an applied laboratory exercise wherein participants were required to scan systems, log files, routers, firewalls, and related elements to identify and remediate ten critical vulnerabilities within a Web application. This assessment was assigned a value of five hundred points, for which participants received promotional items such as T-shirts and coffee mugs, but which did not contribute to their academic grades. The case studies and the laboratory exercise were weighted equally, each accounting for half of the total points. These scores were utilized as the dependent variable performance metrics in the analysis.
",,,,0
"In summary, in contrast to the materials that focus exclusively on managing cybersecurity or the more technical aspects
of cybersecurity within an ecosystem, training materials at this
level are challenging due to the massive range of environments
instructors must consider?ranging from small companies to
large corporations, and government infrastructure. It is tempting to provide a simple list of technical topics in a checklist,
but doing so is actually a prime example of the wrong
approach. Although topics, such as secure remote access,
patch management, change management, and the intersection
of physical and cybersecurity, are suitable for checklists, they
simply fail to ignite behavioral change that is so needed in
cybersecurity responsiveness. Immersion in an environment
via simulations and live activities appears, from our research,
to be critical to applied learning performance.",2021.0,"A Study of Cybersecurity Education Using a
Present-Test-Practice-Assess Model",01-Feb-21,1
"This article aims to understand the factors influencing the cyber-preparedness of social enterprises (SEs) in the U.K. To achieve this goal, it systematically unpacks the elements that support and hinder SEs' preparedness to deal with cybercrime. The structure of the article includes a review of the cybercrime literature, formulation of key issues and characteristics of SEs into a conceptual framework and research questions, detailed methods of the study, and presentation of findings. The article concludes with contributions to the field and suggestions for future research. Through semi-structured interviews with SE owner-managers, the study identifies factors such as organizational characteristics, management traits, resource constraints, prior experiences with cyber attacks, IT usage, and awareness of cybersecurity resources that impact cyber-preparedness. This knowledge is essential for SE owner-managers, support agencies, and policymakers as they navigate the cybersecurity landscape and address vulnerabilities that may expose them to cyber threats.
",,,,0
"The system employs an 8-bit PSoC (Programmable System on Chip) microprocessor for three key reasons. Firstly, it simplifies the design process and reduces overall system costs. The PSoC features configurable analog and digital blocks along with programmable interconnect logic, enabling users to create customized peripherals like filters, amplifiers, analog-to-digital converters, and communication interfaces. Secondly, the device includes a sleep timer and a Switch Mode Pump (SMP) circuit, which help minimize power consumption. Lastly, a specialized PSoC device is available that streamlines the design of capacitive sensor keyboards, reducing complexity in the system.",2007.0,A Low Cost GSM/GPRS Based Wireless Home Security System,06-Dec-07,0
"Cybersecurity is a critical concern that must be addressed before deploying protection systems over broadband networks. This article focuses on developing a real-time cybersecurity defense approach based on contextual information for a protection system within a network environment. The structure of the article is as follows: Section II outlines the proposed methodology, Section III introduces and establishes the PNN, and Sections IV and V present the simulation results and conclusions, respectively.",2007.0,Context Information-Based Cyber Security Defense of Protection System,03-Jul-07,0
"Due to inherent constraints in power consumption, memory capacity, and connectivity, IoT devices cannot implement the same robust security measures as traditional computers, making them prime targets for exploitation. To address this gap, machine learning (ML) models have emerged as a critical tool for network monitoring, enabling real-time differentiation between legitimate and compromised devices by analyzing behavioral patterns?hough their effectiveness hinges on adaptive training to counter evolving IoT-specific threats.

",,,,0
"The Global Navigation Satellite System (GNSS) marks a new era in navigation by utilizing space-based positioning instead of traditional terrestrial radio navigation aids. Ground-based navigation systems have several limitations, including high installation costs and the need for periodic flight inspections. Additionally, the required clearance area around these navigation aids restricts the height of nearby structures, posing challenges in urban development and infrastructure planning.",,,,0
"To ensure our encryption system is widely compatible with computers, we use the 256-character ASCII code, which includes 128 standard ASCII characters and 128 extended ASCII characters. As a result, the ciphertext in the simulation contains not only standard characters but also various local symbols and marks. When decrypted with the correct key, the message is accurately recovered, as shown in Table I. Otherwise, the recovered message appears in the extended ASCII code.",2003.0,A NEW CHAOTIC SECURE COMMUNICATION SYSTEM,08-Aug-03,0
"The provision of practical cybersecurity training to geographically dispersed students presents significant logistical and financial challenges; specifically, the establishment of a traditional cybersecurity laboratory, characterized by dedicated machines equipped with security tools and interconnected via an isolated network, necessitates replication across multiple university campuses to accommodate both local and remote learners; the coordination, management, and maintenance of such replicated environments for a unified cybersecurity curriculum across these campuses are typically cost-prohibitive and operationally unsustainable, thereby necessitating alternative pedagogical approaches.",,,,0
"It is important to note that the use of protected transactions is also part of the specifications outlined by the Open Core Protocol International Partnership (OCP-IP) Association [34]. The standard OCP interface can be extended using a layered profile to establish a secure domain within the System-on-Chip (SoC), offering protection against software and certain selective hardware attacks. This secure domain may include components such as the CPU, memory, and I/O, which are safeguarded through a combination of hardware and software features like secured interrupts, secured memory, and special instructions for accessing the processor's secure mode.",,Secure Memory Accesses on Networks-on-Chip,,0
"In the following section, we illustrate that the closed-loop load-following controller functions as a local supplementary control, effectively eliminating frequency deviations caused by load variations in the absence of centralized AGC. However, this holds only if all load fluctuations in the system are managed through bilateral contracts. While it is unlikely that the power system could function optimally without conventional supplementary control, even in a scenario where all load variations are covered by contracts, centralized control would still be necessary to manage factors such as losses, which cannot be fully accounted for in bilateral agreements.",,Feasibility of a Bilateral Market for Load Following,,0
